32682137,bondwebjr,
29964675,rqui,
62832218,whitesiderj,
2511641,robpas,"I'm THAT guy. I run the Institutional News Business for Dow Jones-I am NOT a journalist-but have over 20 yrs of sell side research, sales & trading experience. "
17698956,moorehn,Handmaiden to capitalism. Truth vigilante. Reporting on Wall St. for Marketplace Radio. Covering banks since '99. WSJ alum; NYT contrib. Get off my lawn. Hi. 
13565472,alansmurray,Wall Street Journal Deputy Managing Editor and Executive Editor Online
63731505,GCPNY,
18858395,WSJDealJournal,"A Wall Street Journal analysis of mergers & acquisitions, bankruptcy, private equity and the markets."
7181842,byuspace,Mobile Product Management at Zinio. Bringing digital reading experiences to the masses.
76511168,CapitalIQ,We provide comprehensive fundamental and quantitative research and analysis solutions for financial professionals. 
18631784,rhoffman_dj,
67085251,RbtArmstrong,
14313400,alacra1,"CEO, Alacra, Inc, NYC Eclectic tweets about markets, music, business, information & sports."
19310266,YahooBuzz,Welcome to the official Yahoo! Buzz Twitter account. We tweet stories as they make it to the top of Buzz... Buzz up!
15836769,dealbreaker,A Wall Street Tabloid
6017542,BreakingNews,"Breaking news alerts around the world from hundreds of sources 24 hours a day. Get more on BreakingNews.com, and follow our team on @breaking."
15863293,kim_ann,"I’m a PR rep for Dow Jones (@KimAtDowJones), but thoughts here are my own. Expect tweets about running, NH, social media and whatever catches my eye."
18267597,paidContent,"The flagship of the ContentNext Media network, paidContent.org provides global coverage of the business of digital content."
81392690,DJBankingIntel,"Opinion & ideas for investment bankers from people like them. Daily columns come with spreadsheets, Powerpoints, PDFs, videos."
17469289,NewYorkPost,The New York Post was founded in 1801 and is the oldest continually published daily newspaper in America. 
41691704,scott_bader,"simple, funny and active"
16358661,robin1124,
36559928,Wacklynn,
5000441,gergle,"I draw pictures of the internet for big companies.  When I'm not doing that, I make music."
16145875,NotifyNYC,"What You Need To Know, When You Need to Know it. Read NYC's Customer Use Policy at nyc.gov/socialmediapolicy"
133675499,WatersTech,The prime source for the latest news on the financial technology and data markets.
5988062,TheEconomist,"Official site for The Economist. Follow for article updates, events and news from The Economist. To subscribe go to: http://econ.st/ddIkQq"
14050939,ResearchRecap,"Editor, Research Recap"
16666471,scottkessler,"Equity analyst covering Technology, Internet areas. I like numbers, words, pictures. Account doesn't represent my employer's views. Links, RTs ≠ endorsements."
97500989,ryanpwarren,"I'm a father, husband and VP of Marketing for @FirstRain.

We are the music makers/And we are the dreamers of dreams."
28562317,sternshow,The Howard Stern Show
